,V1
1,1431.733183
2,2440.404129
3,873.294898
4,754.9053088
5,1046.571203
6,641.9266445
7,2015.93072
8,1016.703964
9,536.6235159
10,2472.102245
11,729.5075238
12,3031.332218
13,1306.273004
14,477.2995216
15,5763.956965
16,391.400025
17,1362.896334
18,1003.167703
19,793.167085
20,2055.055347
21,554.074242
22,1440.517508
23,1408.972517
24,1181.305574
25,1696.628682
26,295.9599001
27,1572.833101
28,2116.684565
29,1842.632994
30,3666.525667
31,971.4436376
32,2342.534322
33,656.9036507
34,2165.262059
35,1597.920407
36,2254.703889
37,829.3329886
38,624.1908428
39,761.9259128
40,558.4886663
41,863.8073646
42,1057.228699
43,1628.581144
44,569.1901215
45,846.3167029
46,1184.541064
47,1373.997434
48,903.9915249
49,1215.562114
50,1771.123479
51,1200.289038
52,354.6056727
53,1725.627579
54,1512.296855
55,1490.536041
56,1243.088952
57,5287.992551
58,2485.506314
59,2855.419062
60,871.9064113
61,1190.272664
62,1792.841173
63,1145.024275
64,1858.78119
65,325.9107799
66,1758.232658
67,528.3499589
68,3146.168992
69,1951.930633
70,2460.019664
71,5582.871787
72,2418.267612
73,382.4927365
74,273.248503
75,1174.829466
76,1551.866391
77,960.9927078
78,4253.474458
79,1525.649187
80,936.2562851
81,3308.047927
82,3523.182863
83,933.0736505
84,1821.657647
85,4096.153368
86,843.2889118
87,1590.98901
88,575.7523258
89,1388.605676
90,967.4848962
91,1804.701445
92,511.5928204
93,1271.404525
94,1496.224274
95,1088.9
96,1311.054934
97,1534.158915
98,2177.915237
99,1473.960781
100,977.8381227
101,748.9518929
102,609.6352781
103,1213.244374
104,954.2404493
105,2935.055986
106,2411.907639
107,809.7617263
108,631.0647162
109,1270.772513
110,630.3951109
111,1042.6692
112,839.8985313
113,553.611698
114,5379.179721
115,970.3258064
116,981.5070327
117,651.7496748
118,308.9253207
119,825.8828371
120,766.9324174
121,1820.28103
122,920.238086
123,3326.63749
124,516.6220875
125,3633.985105
126,2949.828157
127,677.3400885
128,1108.642969
129,2768.782525
130,922.2949639
131,699.7674417
132,2867.579252
133,799.7697444
134,1358.883974
135,2092.216377
136,992.8874798
137,351.3192266
138,540.4316908
139,1569.177205
140,912.0551291
141,1580.151534
142,1102.414343
143,1112.284503
144,5018.640777
145,1258.756925
146,680.6739668
147,2240.374218
148,3975.44208
149,2009.60755
150,2096.269076
151,1874.284218
152,623.8778841
153,1188.140656
154,319.0524893
155,1212.32722
156,776.1582486
157,1825.762994
158,1518.264227
159,1099.135785
160,1608.707904
161,1995.693065
162,3072.117987
163,1777.649754
164,2358.457074
165,829.3018493
166,393.1650496
167,902.7662096
168,1039.344303
169,1207.073006
170,5848.255853
171,465.9741392
172,849.3598399
173,4002.357442
174,1165.7743
175,2619.196456
176,1662.008302
177,1693.58705
178,1872.481295
179,4502.535855
180,2354.961156
181,655.1465021
182,733.209686
183,1088.577479
184,966.1807219
185,1474.675779
186,667.9375605
187,1068.375951
188,595.2800613
189,1924.068422
190,2522.846975
191,1121.725144
192,5951.517613
193,457.9721728
194,1197.419442
195,364.6461236
196,636.9863246
197,1132.579503
198,1079.433901
199,1171.074537
200,1861.479746
201,3216.009189
202,1934.636945
203,1001.105672
204,1115.735292
205,677.3928723
206,2369.596372
207,2627.515121
208,694.6925343
209,1043.710273
210,372.0940423
211,928.4645548
212,1406.777279
213,861.1195946
214,910.0381064
215,799.9420146
